CMDLINE c:\python3\python.exe comparison.py
MEM 0.277344 1544336416.5580
MEM 12.894531 1544336416.6748
MEM 13.984375 1544336416.7862
MEM 13.984375 1544336416.9072
MEM 13.984375 1544336417.0424
MEM 13.984375 1544336417.1773
MEM 13.984375 1544336417.3046
MEM 13.984375 1544336417.4181
MEM 13.984375 1544336417.5611
MEM 13.984375 1544336417.6800
MEM 14.281250 1544336417.8123
MEM 14.281250 1544336417.9254
MEM 14.281250 1544336418.0444
MEM 14.281250 1544336418.1615
MEM 14.281250 1544336418.2776
MEM 14.281250 1544336418.3937
MEM 14.281250 1544336418.5106
MEM 14.281250 1544336418.6422
MEM 31.554688 1544336418.7939
MEM 37.445312 1544336418.9132
MEM 40.660156 1544336419.0192
MEM 59.718750 1544336419.1287
MEM 66.058594 1544336419.2487
MEM 69.625000 1544336419.3629
MEM 72.144531 1544336419.4722
MEM 76.074219 1544336419.5734
MEM 78.156250 1544336419.6734
MEM 78.156250 1544336419.8039
MEM 78.156250 1544336419.9353
MEM 78.156250 1544336420.0571
MEM 78.156250 1544336420.1853
MEM 78.156250 1544336420.3264
MEM 78.156250 1544336420.4670
MEM 78.156250 1544336420.6036
MEM 78.687500 1544336420.7288
CHLD 0 10.152344 1544336420.7444
CHLD 1 10.039062 1544336420.7444
CHLD 2 10.171875 1544336420.7444
CHLD 3 9.843750 1544336420.7444
MEM 78.847656 1544336420.9063
CHLD 0 14.914062 1544336420.9220
CHLD 1 14.691406 1544336420.9220
CHLD 2 14.910156 1544336420.9220
CHLD 3 13.843750 1544336420.9220
MEM 78.847656 1544336421.0347
CHLD 0 14.964844 1544336421.0659
CHLD 1 14.953125 1544336421.0659
CHLD 2 14.953125 1544336421.0659
CHLD 3 14.937500 1544336421.0659
MEM 78.847656 1544336421.1668
CHLD 0 14.964844 1544336421.1871
CHLD 1 14.953125 1544336421.1871
CHLD 2 14.953125 1544336421.1871
CHLD 3 14.937500 1544336421.1871
MEM 78.847656 1544336421.2874
CHLD 0 14.964844 1544336421.3268
CHLD 1 14.953125 1544336421.3268
CHLD 2 14.953125 1544336421.3268
CHLD 3 14.937500 1544336421.3268
MEM 78.847656 1544336421.4362
CHLD 0 14.964844 1544336421.4675
CHLD 1 14.953125 1544336421.4675
CHLD 2 14.953125 1544336421.4675
CHLD 3 14.937500 1544336421.4675
MEM 78.847656 1544336421.5768
CHLD 0 14.964844 1544336421.5996
CHLD 1 14.953125 1544336421.5996
CHLD 2 14.953125 1544336421.5996
CHLD 3 14.937500 1544336421.5996
MEM 78.847656 1544336421.7107
CHLD 0 14.964844 1544336421.7420
CHLD 1 14.953125 1544336421.7420
CHLD 2 14.953125 1544336421.7420
CHLD 3 14.937500 1544336421.7420
MEM 78.847656 1544336421.8514
CHLD 0 14.964844 1544336421.8826
CHLD 1 14.953125 1544336421.8826
CHLD 2 14.953125 1544336421.8826
CHLD 3 14.937500 1544336421.8826
MEM 78.847656 1544336421.9833
CHLD 0 15.191406 1544336422.0180
CHLD 1 15.167969 1544336422.0180
CHLD 2 15.179688 1544336422.0180
CHLD 3 15.167969 1544336422.0180
MEM 78.847656 1544336422.1190
CHLD 0 15.191406 1544336422.1510
CHLD 1 15.167969 1544336422.1510
CHLD 2 15.179688 1544336422.1510
CHLD 3 15.167969 1544336422.1510
MEM 78.847656 1544336422.2653
CHLD 0 15.191406 1544336422.2989
CHLD 1 15.167969 1544336422.2989
CHLD 2 15.179688 1544336422.2989
CHLD 3 15.167969 1544336422.2989
MEM 78.847656 1544336422.4083
CHLD 0 15.191406 1544336422.4395
CHLD 1 15.167969 1544336422.4395
CHLD 2 15.179688 1544336422.4395
CHLD 3 15.167969 1544336422.4395
MEM 78.847656 1544336422.5396
CHLD 0 15.191406 1544336422.5686
CHLD 1 15.167969 1544336422.5686
CHLD 2 15.179688 1544336422.5686
CHLD 3 15.167969 1544336422.5686
MEM 78.847656 1544336422.6701
CHLD 0 15.191406 1544336422.7110
CHLD 1 15.167969 1544336422.7110
CHLD 2 15.179688 1544336422.7110
CHLD 3 15.167969 1544336422.7110
MEM 78.847656 1544336422.8204
CHLD 0 15.191406 1544336422.8501
CHLD 1 15.167969 1544336422.8501
CHLD 2 15.179688 1544336422.8501
CHLD 3 15.167969 1544336422.8501
MEM 78.847656 1544336422.9565
CHLD 0 22.757812 1544336423.0346
